category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),2.7,2.9,1.1,1.3,3.3,3.5,3.7,3.9,4.1,4.2
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,97.3,97.1,98.9,98.7,96.7,96.5,96.3,96.1,95.9,95.8
HISPANIC OR LATINO AND RACE,Total population,14989,15049,15000,14940,14892,14858,14831,14863,14812,14831
RACE,American Indian and Alaska Native,0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0
RACE,Asian,0.2,0.1,0.1,0.2,0.4,0.2,0.3,0.4,0.4,0.2
RACE,Black or African American,13.8,14.1,15.9,16.1,13.6,13.4,13,12.8,12.9,13
RACE,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0,0,0,0
RACE,Some other race,1.5,0.6,0.1,0.1,1.6,1.3,1.6,1,1.3,1.2
RACE,Two or more races,1.3,0.9,1,0.4,0.5,0.8,1,1.2,0.9,1.1
RACE,White,83.2,84.1,82.7,83,83.6,83.9,83.9,84.4,84.2,84.5
SEX AND AGE,10 to 14 years,6.9,7.1,6.8,5.8,6.3,6,5.6,5.9,6,5.3
SEX AND AGE,15 to 19 years,5.3,5.5,5.7,5.7,6,5.2,5.4,5,4.8,4.6
SEX AND AGE,20 to 24 years,4.3,4.4,4.6,4.9,4.9,5.6,5.5,5.2,4.4,4.9
SEX AND AGE,25 to 34 years,10.3,9.8,9.6,10.2,9.7,9.6,9.4,9.5,10,8.7
SEX AND AGE,35 to 44 years,12.2,12.1,11.1,10.7,10.3,10.4,9.8,9.7,9.8,9.6
SEX AND AGE,45 to 54 years,16,14.9,15.1,14.4,13.9,13,13,13.3,13,12.3
SEX AND AGE,5 to 9 years,4.4,4.5,5.3,5.5,5,5.5,5.9,5.2,4.9,6
SEX AND AGE,55 to 59 years,8.1,8.4,8.3,8,7.2,7.5,7.8,7.5,7.3,7.6
SEX AND AGE,60 to 64 years,9.2,10.2,11.1,11,10.8,10.5,9.9,10.1,10.5,10.7
SEX AND AGE,65 to 74 years,11.2,11.2,11.1,12,12.9,13.5,14.4,15.5,15.9,16.5
SEX AND AGE,75 to 84 years,5.2,5.4,6.2,6.6,7.1,7.1,7.1,6.8,6.9,7.5
SEX AND AGE,85 years and over,2.4,2.2,1.4,1.4,1.7,1.8,1.8,2,2.3,2
SEX AND AGE,Female,51.2,52.3,52.7,52.1,51.9,51.5,51.6,51.4,51.4,51.2
SEX AND AGE,Male,48.8,47.7,47.3,47.9,48.1,48.5,48.4,48.6,48.6,48.8
SEX AND AGE,Total population,14989,15049,15000,14940,14892,14858,14831,14863,14812,14831
SEX AND AGE,Under 5 years,4.5,4.4,3.7,3.7,4.3,4.5,4.4,4.2,4.2,4.5
